drawId,winningNumbers,joker,winners,jackpot,distributed,columns
43,"[2, 3, 17, 24, 25]",2,0,0.0,27084672.08,0
44,"[11, 4, 31, 18, 32]",7,0,27084672.08,12617523.08,0
45,"[23, 20, 12, 45, 5]",3,1,39702195.16,3359212.12,0
46,"[30, 20, 27, 40, 29]",20,3,0.0,6751516.08,0
47,"[32, 13, 5, 36, 22]",16,1,0.0,18086157.08,0
48,"[19, 33, 29, 34, 37]",18,0,0.0,41417305.04,0
49,"[26, 33, 34, 6, 27]",20,0,41417305.04,23945084.08,0
50,"[9, 23, 41, 31, 11]",20,0,22412716.16,9361566.08,0
51,"[34, 6, 14, 13, 38]",19,0,31774282.24,40261920.08,0
52,"[45, 8, 32, 34, 18]",6,0,29086529.36,37535696.08,0
53,"[36, 23, 8, 12, 24]",2,1,23672552.48,39717532.12,0
54,"[8, 18, 42, 22, 39]",4,0,0.0,1224201.08,0
55,"[5, 36, 26, 10, 7]",8,0,1224201.08,24307139.08,0
56,"[28, 7, 34, 4, 30]",12,0,25531340.16,19634323.08,0
57,"[25, 31, 7, 27, 36]",10,0,2215990.28,2639491.12,0
58,"[16, 28, 17, 13, 43]",1,0,4855481.4,42648126.08,0
59,"[37, 21, 26, 7, 18]",11,1,4553934.52,42028714.12,0
60,"[21, 18, 34, 15, 16]",9,0,0.0,731151.08,0
61,"[39, 38, 10, 33, 37]",10,0,731151.08,27758661.08,0
62,"[23, 21, 40, 9, 36]",16,0,28489812.16,18646625.08,0
63,"[40, 10, 13, 11, 31]",13,1,4186764.28,36681392.08,0
64,"[2, 32, 28, 42, 18]",3,0,0.0,39888563.04,0
65,"[4, 35, 39, 13, 29]",10,0,39888563.04,6661826.08,0
66,"[19, 16, 18, 34, 22]",16,0,3600716.16,26851378.04,0
67,"[12, 17, 26, 24, 5]",19,0,30452094.2,11963114.08,0
68,"[8, 17, 6, 26, 45]",14,0,42415208.28,14223844.08,0
69,"[17, 41, 8, 45, 14]",4,0,13689379.4,278247.12,0
70,"[38, 13, 28, 35, 32]",2,0,13967626.52,14387106.12,0
71,"[20, 18, 17, 21, 1]",17,2,28354732.64,3231944.2,0
72,"[41, 11, 21, 40, 20]",10,0,0.0,7905723.08,0
73,"[39, 32, 9, 16, 13]",1,0,7905723.08,39826811.08,0
74,"[34, 38, 43, 12, 35]",15,0,4782861.2,22098596.08,0
75,"[18, 32, 8, 37, 2]",19,1,26881457.28,15261829.12,0
76,"[32, 19, 2, 10, 24]",12,0,0.0,1161346.08,0
77,"[32, 38, 42, 26, 40]",18,1,1161346.08,27476994.08,0
78,"[20, 2, 18, 15, 33]",15,0,0.0,42783615.04,0
79,"[26, 43, 30, 29, 25]",8,0,42783615.04,30396014.08,0
80,"[10, 27, 42, 2, 22]",6,0,30229956.16,25165110.08,0
81,"[36, 4, 3, 21, 40]",9,0,12445393.28,9887175.12,0
82,"[17, 22, 12, 27, 21]",8,0,22332568.4,5679112.12,0
83,"[30, 14, 24, 21, 12]",6,1,28011680.52,8925835.16,0
84,"[9, 18, 33, 13, 24]",14,0,0.0,2444421.08,0
85,"[2, 26, 32, 27, 34]",2,0,2444421.08,36515995.08,0
86,"[12, 9, 5, 27, 43]",11,1,38960416.16,20605971.08,0
87,"[21, 16, 23, 36, 37]",13,0,0.0,18360998.08,0
88,"[18, 37, 44, 21, 34]",7,1,18360998.08,12245912.08,0
89,"[20, 37, 10, 33, 38]",10,0,0.0,24840343.08,0
90,"[27, 16, 25, 21, 8]",7,0,24840343.08,7316957.08,0
91,"[19, 17, 27, 29, 16]",13,1,32157300.16,41704249.08,0
92,"[13, 35, 34, 38, 18]",11,1,0.0,808633.08,0
93,"[37, 21, 18, 36, 26]",11,1,0.0,22201722.08,0
94,"[44, 20, 21, 2, 31]",3,0,0.0,40306764.04,0
95,"[33, 37, 19, 12, 25]",11,0,40306764.04,26502596.08,0
96,"[15, 11, 42, 17, 20]",18,0,23859687.16,16101263.08,0
97,"[13, 11, 41, 32, 23]",19,0,39960950.24,22266538.12,0
98,"[2, 16, 32, 22, 11]",20,0,19277815.4,13406857.12,0
99,"[7, 24, 22, 31, 25]",16,0,32684672.52,26878304.16,0
100,"[31, 12, 21, 30, 37]",1,0,16613303.72,24529747.2,0
101,"[29, 6, 19, 16, 17]",18,0,41143050.92,24953460.32,0
102,"[18, 36, 5, 34, 25]",2,0,23146838.28,12326025.44,0
103,"[31, 22, 37, 35, 39]",11,1,35472863.72,18207136.92,0
104,"[20, 27, 22, 32, 5]",4,0,0.0,20342675.08,0
105,"[13, 29, 27, 41, 14]",19,1,20342675.08,22149377.44,0
106,"[38, 20, 21, 18, 16]",10,0,0.0,35899161.08,0
107,"[28, 34, 11, 41, 19]",4,0,35899161.08,39045271.16,0
108,"[16, 42, 30, 5, 27]",5,0,31994759.28,27059640.16,0
109,"[25, 31, 22, 20, 28]",20,1,16104726.48,22031247.24,0
110,"[7, 42, 9, 4, 45]",17,0,0.0,12467468.12,0
111,"[44, 14, 23, 25, 24]",5,0,12467468.12,36776730.16,0
112,"[38, 8, 2, 27, 44]",11,0,6294525.32,26665242.16,0
113,"[13, 2, 12, 5, 11]",10,1,32959767.48,20463028.24,0
114,"[25, 24, 15, 18, 8]",15,0,0.0,8836673.12,0
115,"[9, 31, 6, 13, 28]",4,0,8836673.12,33090156.16,0
116,"[29, 27, 12, 40, 31]",10,0,41926829.28,16451666.16,0
117,"[17, 19, 36, 30, 38]",9,3,15428822.48,12358215.24,0
118,"[2, 39, 22, 5, 7]",15,0,0.0,8792376.12,0
119,"[8, 22, 27, 23, 38]",7,1,8792376.12,26600965.16,0
120,"[18, 10, 11, 17, 44]",17,0,0.0,40899872.08,0
121,"[17, 23, 4, 43, 2]",6,0,40899872.08,17657965.16,0
122,"[9, 4, 31, 19, 15]",8,0,15608164.28,24037427.12,0
123,"[26, 11, 38, 32, 16]",8,0,39645591.4,42651429.2,0
124,"[27, 44, 21, 2, 31]",7,1,39347347.64,37854633.24,0
125,"[25, 40, 24, 43, 4]",11,0,0.0,4569197.16,0
126,"[44, 29, 17, 36, 14]",2,1,4569197.16,29009144.12,0
127,"[35, 1, 14, 21, 23]",3,0,0.0,38876400.12,0
128,"[26, 24, 27, 33, 17]",1,2,38876400.12,20292029.12,0
129,"[26, 37, 36, 13, 31]",16,0,0.0,8357083.12,0
130,"[34, 5, 28, 39, 22]",5,2,8357083.12,17411225.12,0
131,"[36, 28, 1, 14, 3]",2,0,0.0,8607704.12,0
132,"[30, 19, 37, 39, 6]",9,0,8607704.12,14028941.12,0
133,"[20, 41, 12, 40, 7]",6,2,22636645.24,38175800.12,0
134,"[20, 29, 44, 37, 45]",15,0,0.0,4853310.12,0
135,"[31, 5, 32, 7, 16]",12,0,4853310.12,14031449.08,0
136,"[15, 7, 32, 38, 30]",18,0,18884759.2,238739.12,0
137,"[32, 22, 28, 5, 17]",9,1,19123498.32,34908360.12,0
138,"[33, 6, 3, 43, 26]",9,1,0.0,27202981.08,0
139,"[7, 23, 39, 35, 18]",16,1,0.0,25968325.08,0
140,"[4, 33, 40, 5, 24]",18,0,0.0,20874343.08,0
141,"[4, 41, 22, 9, 44]",17,0,20874343.08,39980890.08,0
142,"[27, 11, 38, 44, 7]",12,0,17905560.2,8103816.12,0
143,"[26, 33, 3, 20, 18]",5,0,26009376.32,28726544.12,0
144,"[21, 26, 38, 27, 23]",6,1,11786247.48,13474885.16,0
145,"[3, 10, 18, 13, 21]",14,0,0.0,24536619.08,0
146,"[42, 14, 11, 1, 5]",10,0,24536619.08,2370944.12,0
147,"[12, 2, 17, 22, 41]",10,0,26907563.2,21109401.12,0
148,"[32, 28, 13, 19, 45]",9,0,5067291.36,34986288.12,0
149,"[1, 10, 28, 16, 14]",16,0,40053579.48,4192152.16,0
150,"[5, 25, 38, 30, 16]",2,0,1296058.68,24054461.2,0
151,"[25, 43, 5, 36, 33]",4,1,25350519.88,11986662.28,0
152,"[21, 33, 12, 24, 10]",10,1,0.0,28391468.08,0
153,"[6, 32, 25, 34, 43]",13,1,0.0,35574831.08,0
154,"[26, 44, 17, 18, 19]",8,0,0.0,29109878.08,0
155,"[23, 45, 19, 38, 20]",6,0,29109878.08,1244346.12,0
156,"[15, 13, 23, 27, 30]",4,0,30354224.2,6288856.12,0
157,"[2, 45, 38, 28, 26]",14,0,36643080.32,29640153.12,0
158,"[4, 8, 17, 21, 39]",19,1,23333560.48,21572752.16,0
159,"[18, 26, 13, 17, 19]",13,0,0.0,32092968.08,0
160,"[34, 25, 40, 24, 5]",20,0,32092968.08,2825719.12,0
161,"[29, 16, 37, 41, 17]",1,0,34918687.2,16057229.12,0
162,"[3, 7, 14, 30, 26]",13,1,8026243.36,38582218.12,0
163,"[33, 11, 31, 13, 25]",5,0,0.0,27029831.08,0
164,"[22, 11, 27, 33, 14]",2,0,27029831.08,2681046.12,0
165,"[28, 24, 12, 43, 8]",10,0,29710877.2,8510452.12,0
166,"[5, 35, 17, 42, 7]",5,2,38221329.32,34258903.12,0
167,"[6, 27, 37, 28, 15]",18,0,0.0,25788210.08,0
168,"[13, 20, 10, 40, 33]",8,0,25788210.08,28808413.08,0
169,"[3, 33, 31, 22, 12]",7,0,11646950.2,55539.12,0
170,"[42, 22, 7, 32, 5]",3,0,11702489.32,18989156.12,0
171,"[3, 9, 13, 45, 4]",3,0,30691645.44,9171649.16,0
172,"[12, 43, 31, 30, 9]",4,0,39863294.6,8914540.28,0
173,"[21, 29, 4, 22, 31]",2,1,5828161.92,12566646.4,0
174,"[45, 39, 35, 10, 11]",14,0,0.0,34245690.08,0
175,"[43, 19, 33, 37, 21]",1,0,34245690.08,23727505.12,0
176,"[26, 4, 5, 15, 32]",13,0,15023522.24,33949200.12,0
177,"[40, 19, 6, 5, 18]",13,1,6023049.4,38485981.16,0
178,"[31, 29, 18, 14, 19]",7,1,0.0,34585761.08,0
179,"[35, 30, 1, 7, 13]",6,0,0.0,37406507.08,0
180,"[3, 11, 41, 31, 7]",10,0,37406507.08,35258779.08,0
181,"[25, 38, 8, 16, 42]",3,2,29715613.2,13839991.12,0
182,"[22, 4, 17, 19, 43]",18,0,0.0,23471810.08,0
183,"[29, 35, 39, 6, 17]",11,1,23471810.08,42488011.08,0
184,"[6, 34, 21, 7, 1]",1,0,0.0,22298208.08,0
185,"[29, 36, 7, 23, 4]",15,0,22298208.08,39965806.08,0
186,"[35, 7, 11, 39, 44]",5,0,19314341.2,421799.12,0
187,"[13, 42, 33, 23, 11]",1,0,19736140.32,22548330.12,0
188,"[1, 13, 14, 40, 6]",4,0,42284470.44,37169398.12,0
189,"[2, 27, 40, 8, 11]",4,0,36504195.6,18507256.2,0
190,"[37, 12, 41, 34, 5]",1,0,12061778.84,2734973.28,0
191,"[44, 42, 12, 9, 38]",14,0,14796752.12,28045503.36,0
192,"[17, 42, 20, 1, 19]",3,0,42842255.48,42275252.8,0
193,"[8, 3, 24, 43, 29]",13,2,42167835.32,30211766.4,0
194,"[43, 27, 34, 33, 8]",13,0,0.0,9867652.16,0
195,"[22, 6, 25, 14, 32]",20,2,9867652.16,11275855.2,0
196,"[38, 3, 15, 27, 33]",12,0,0.0,4926084.16,0
197,"[4, 14, 35, 7, 39]",17,1,4926084.16,14971942.16,0
198,"[3, 42, 43, 30, 37]",10,0,0.0,16657512.12,0
199,"[33, 23, 25, 37, 16]",8,0,16657512.12,32735479.12,0
200,"[29, 7, 22, 33, 21]",5,0,6443318.28,38635013.12,0
201,"[4, 31, 16, 21, 43]",17,1,2128658.44,7675607.16,0
202,"[18, 13, 27, 15, 1]",14,0,0.0,42727627.08,0
203,"[15, 6, 17, 18, 19]",8,0,42727627.08,16058721.12,0
204,"[41, 45, 39, 35, 1]",10,0,15836675.24,14915566.12,0
205,"[10, 19, 8, 45, 4]",9,0,30752241.36,1980526.16,0
206,"[22, 40, 13, 45, 37]",10,0,32732767.52,32112529.12,0
207,"[18, 29, 7, 35, 6]",9,0,21895623.68,32643480.16,0
208,"[31, 35, 39, 45, 10]",3,1,11589430.88,2490582.2,0
209,"[33, 21, 12, 16, 45]",9,0,0.0,39926263.2,0
210,"[8, 33, 7, 26, 45]",7,0,747394.36,337892.57,0
211,"[20, 12, 18, 45, 3]",5,0,1085286.93,442904.81,0
212,"[38, 34, 42, 43, 23]",7,0,1528191.74,459002.2,0
213,"[24, 45, 2, 14, 9]",8,0,1987193.94,526407.31,0
214,"[2, 41, 32, 25, 15]",19,0,2513601.25,544205.31,0
215,"[45, 31, 12, 34, 42]",7,0,3057806.57,598814.76,0
216,"[42, 24, 29, 41, 9]",7,0,3656621.34,666999.86,0
217,"[28, 43, 14, 6, 37]",8,3,4323621.2,748350.48,0
218,"[11, 13, 21, 3, 34]",6,0,0.0,372278.16,0
219,"[34, 8, 39, 12, 30]",15,0,372278.16,448670.87,0
220,"[14, 43, 10, 31, 32]",16,0,820949.03,420906.55,0
221,"[1, 29, 33, 16, 23]",5,0,1241855.58,523383.27,0
222,"[34, 7, 22, 4, 31]",10,0,1765238.85,505207.79,0
223,"[38, 32, 11, 31, 4]",14,0,2270446.64,604822.43,0
224,"[6, 18, 2, 41, 23]",4,0,2875269.07,597083.16,0
225,"[45, 5, 8, 28, 41]",6,1,3472352.23,742768.48,0
226,"[17, 8, 10, 12, 9]",3,0,0.0,366640.15,0
227,"[8, 27, 2, 41, 25]",20,0,366640.15,440310.25,0
228,"[13, 10, 36, 4, 37]",9,0,806950.4,416910.77,0
229,"[8, 33, 45, 2, 6]",14,0,1223861.17,493098.66,0
230,"[6, 18, 33, 2, 12]",1,0,1716959.83,482266.27,0
231,"[2, 6, 14, 36, 32]",6,1,2199226.1,552155.15,0
232,"[44, 25, 4, 26, 11]",9,1,0.0,339315.7,0
233,"[36, 10, 35, 38, 17]",4,0,0.0,406669.65,0
234,"[32, 43, 9, 16, 44]",12,0,406669.65,370799.03,0
235,"[5, 34, 13, 41, 24]",3,0,777468.68,477118.7,0
236,"[10, 11, 43, 13, 26]",13,1,1254587.38,453398.99,0
237,"[40, 1, 8, 21, 6]",18,0,0.0,401925.95,0
238,"[15, 4, 11, 34, 7]",18,0,401925.95,381617.38,0
239,"[20, 29, 30, 33, 22]",13,0,783543.33,465941.9,0
240,"[40, 11, 43, 34, 31]",9,0,1249485.23,437982.42,0
241,"[7, 13, 19, 5, 9]",18,0,1687467.65,482669.19,0
242,"[37, 2, 11, 3, 9]",12,0,2170136.84,495020.64,0
243,"[41, 30, 2, 45, 9]",17,0,2665157.48,600694.47,0
244,"[37, 25, 39, 26, 32]",6,2,3265851.95,617346.82,0
245,"[38, 10, 14, 12, 16]",12,0,0.0,263324.16,0
246,"[14, 8, 33, 41, 32]",7,0,263324.16,314794.39,0
247,"[5, 10, 3, 43, 25]",20,0,578118.56,401735.09,0
248,"[41, 8, 11, 25, 14]",14,0,979853.65,393290.7,0
249,"[26, 5, 9, 3, 8]",4,0,1373144.35,451855.69,0
250,"[44, 45, 21, 10, 13]",1,0,1825000.04,466994.12,0
251,"[21, 18, 8, 33, 29]",4,3,2291994.16,531859.06,0
252,"[21, 10, 38, 17, 2]",16,0,0.0,344174.73,0
253,"[26, 7, 10, 18, 39]",3,0,344174.73,388101.1,0
254,"[3, 39, 26, 12, 43]",16,0,732275.84,368936.75,0
255,"[21, 38, 37, 18, 17]",6,1,1101212.59,414607.84,0
256,"[3, 13, 43, 28, 38]",11,3,0.0,322370.09,0
257,"[40, 8, 34, 26, 24]",19,0,0.0,327800.7,0
258,"[31, 4, 1, 3, 33]",2,0,327800.7,334160.18,0
259,"[16, 39, 6, 44, 32]",11,1,661960.88,348258.22,0
260,"[24, 2, 13, 43, 33]",14,2,0.0,305053.51,0
261,"[25, 13, 22, 37, 7]",13,1,0.0,317557.31,0
262,"[26, 39, 8, 3, 44]",6,0,0.0,301715.62,0
263,"[24, 12, 11, 9, 20]",8,1,301715.62,325732.81,0
264,"[18, 8, 3, 36, 32]",19,2,0.0,285812.56,0
265,"[38, 27, 8, 17, 41]",6,0,0.0,299097.96,0
266,"[43, 35, 30, 41, 37]",8,1,299097.96,297766.53,0
267,"[10, 36, 7, 12, 9]",9,0,0.0,288795.29,0
268,"[6, 15, 4, 5, 10]",2,0,288795.29,306074.97,0
269,"[10, 14, 36, 26, 27]",16,0,594870.26,206454.78,0
270,"[32, 40, 37, 10, 5]",15,0,801325.04,343037.21,0
271,"[29, 4, 21, 20, 31]",17,0,1144362.25,384455.1,0
272,"[29, 40, 39, 21, 33]",18,0,1528817.35,419977.49,0
273,"[41, 38, 45, 11, 1]",13,2,1948794.85,499358.62,0
274,"[35, 16, 29, 15, 20]",11,0,0.0,242414.48,0
275,"[36, 35, 7, 43, 28]",11,0,242414.48,331191.3,0
276,"[42, 1, 32, 28, 23]",7,0,573605.78,358423.99,0
277,"[19, 10, 21, 2, 32]",8,2,932029.77,380176.63,0
278,"[28, 34, 22, 12, 25]",8,0,0.0,317848.71,0
279,"[11, 43, 45, 32, 7]",20,0,317848.71,368991.67,0
280,"[31, 28, 44, 15, 4]",12,1,686840.38,357811.89,0
281,"[40, 16, 37, 32, 33]",13,0,0.0,347004.34,0
282,"[17, 7, 28, 15, 13]",3,1,347004.34,347445.93,0
283,"[41, 34, 45, 14, 43]",14,0,0.0,351465.78,0
284,"[29, 2, 20, 38, 34]",8,0,351465.78,339726.25,0
285,"[44, 43, 22, 36, 5]",2,0,691192.03,379027.9,0
286,"[33, 14, 38, 36, 32]",3,0,1070219.93,389401.07,0
287,"[11, 39, 28, 3, 22]",5,2,1459621.0,470637.55,0
288,"[45, 41, 16, 23, 28]",17,0,0.0,323236.58,0
289,"[29, 24, 17, 4, 34]",11,0,323236.58,382236.89,0
290,"[31, 32, 29, 3, 39]",20,0,705473.47,359941.74,0
291,"[32, 35, 40, 31, 24]",19,0,1065415.22,405980.95,0
292,"[7, 22, 28, 43, 18]",2,1,1471396.17,445949.27,0
293,"[24, 30, 26, 2, 37]",11,0,0.0,344282.68,0
294,"[17, 44, 43, 33, 4]",6,0,344282.68,357020.39,0
295,"[44, 6, 37, 35, 3]",8,1,701303.07,409295.38,0
296,"[2, 19, 13, 10, 3]",12,0,0.0,304019.98,0
297,"[16, 10, 13, 6, 44]",14,0,304019.98,370608.53,0
298,"[1, 28, 7, 34, 33]",16,1,674628.51,373980.92,0
299,"[34, 35, 16, 1, 13]",19,0,0.0,346233.73,0
300,"[12, 16, 14, 36, 37]",2,0,346233.73,328581.28,0
301,"[42, 27, 45, 38, 9]",14,0,674815.01,398704.12,0
302,"[32, 24, 1, 4, 6]",20,0,1073519.13,417422.04,0
303,"[27, 39, 7, 24, 8]",3,0,1490941.17,481180.51,0
304,"[20, 44, 28, 2, 26]",16,0,1972121.68,455909.86,0
305,"[14, 11, 4, 22, 27]",3,0,2428031.54,512751.78,0
306,"[44, 1, 9, 28, 22]",7,0,2940783.32,595469.53,0
307,"[40, 22, 41, 26, 11]",13,0,3536252.85,698692.98,0
308,"[20, 19, 5, 39, 23]",4,1,4234945.83,722612.68,0
309,"[36, 18, 10, 11, 40]",16,0,0.0,333234.46,0
310,"[25, 23, 19, 44, 20]",2,0,333234.46,326104.5,0
311,"[34, 8, 4, 32, 44]",8,0,659338.97,359582.29,0
312,"[1, 12, 15, 4, 26]",19,0,1018921.26,428773.75,0
313,"[29, 18, 17, 32, 21]",20,1,1447695.02,421041.59,0
314,"[17, 27, 34, 42, 2]",9,0,0.0,547582.18,0
315,"[14, 29, 6, 4, 32]",7,1,547582.18,457953.57,0
316,"[27, 8, 41, 44, 10]",17,0,0.0,305907.33,0
317,"[35, 24, 36, 42, 12]",17,1,305907.33,359440.45,0
318,"[45, 17, 29, 2, 9]",20,0,0.0,289033.96,0
319,"[13, 8, 41, 39, 2]",1,0,289033.96,342104.1,0
320,"[20, 18, 23, 24, 41]",8,0,631138.06,328111.98,0
321,"[41, 26, 39, 21, 43]",3,0,959250.05,379464.66,0
322,"[10, 12, 37, 30, 45]",5,1,1338714.71,402631.01,0
323,"[40, 3, 26, 23, 4]",11,0,0.0,331059.01,0
324,"[14, 5, 7, 29, 10]",14,0,331059.01,317404.95,0
325,"[34, 2, 7, 12, 9]",19,0,648463.97,349471.86,0
326,"[36, 23, 28, 37, 29]",17,0,997935.83,362787.65,0
327,"[7, 15, 40, 16, 42]",20,0,1360723.48,460443.65,0
328,"[43, 26, 5, 20, 6]",6,0,1821167.13,467940.89,0
329,"[26, 35, 24, 2, 17]",20,0,2289108.02,567687.12,0
330,"[10, 37, 44, 28, 31]",3,0,2856795.15,641639.47,0
331,"[18, 37, 43, 21, 35]",19,1,3498434.63,840188.48,0
332,"[1, 22, 36, 34, 29]",2,0,0.0,315175.46,0
333,"[28, 38, 37, 3, 11]",6,0,315175.46,361757.82,0
334,"[2, 35, 32, 37, 38]",16,0,676933.28,319065.33,0
335,"[17, 45, 5, 1, 13]",6,0,995998.62,421594.71,0
336,"[15, 27, 1, 12, 9]",3,0,1417593.33,389377.25,0
337,"[6, 22, 29, 45, 35]",16,1,1806970.58,456355.87,0
338,"[9, 13, 18, 6, 35]",1,0,0.0,271430.11,0
339,"[2, 11, 31, 34, 7]",18,0,271430.11,279846.26,0
340,"[21, 43, 31, 5, 22]",17,0,551276.37,329138.69,0
341,"[16, 9, 37, 44, 32]",19,0,880415.07,369049.34,0
342,"[15, 23, 9, 10, 13]",3,0,1249464.4,359201.59,0
343,"[36, 6, 43, 42, 28]",12,0,1608666.0,438280.62,0
344,"[36, 28, 1, 45, 31]",3,0,2046946.62,438095.73,0
345,"[9, 22, 13, 39, 33]",20,2,2485042.35,558346.34,0
346,"[19, 18, 35, 15, 26]",15,2,0.0,301281.12,0
347,"[23, 43, 16, 22, 26]",11,0,0.0,224324.66,0
348,"[35, 17, 43, 4, 7]",16,0,224324.66,249543.02,0
349,"[39, 7, 23, 45, 17]",19,1,473867.68,321835.83,0
350,"[11, 24, 27, 30, 40]",5,0,0.0,261077.17,0
351,"[2, 37, 6, 33, 28]",4,1,261077.17,297893.21,0
352,"[39, 29, 9, 30, 36]",12,0,0.0,250506.81,0
353,"[6, 29, 27, 44, 31]",16,0,250506.81,295021.4,0
354,"[15, 27, 12, 23, 8]",16,0,545528.21,279556.89,0
355,"[45, 24, 10, 26, 16]",6,1,825085.1,341235.29,0
356,"[13, 42, 19, 18, 8]",17,0,0.0,256977.64,0
357,"[38, 39, 36, 26, 21]",7,0,256977.64,305025.63,0
358,"[22, 13, 10, 36, 1]",20,0,562003.27,302074.65,0
359,"[41, 40, 12, 27, 15]",10,0,864077.93,335620.21,0
360,"[10, 16, 19, 6, 35]",6,0,1199698.14,326716.73,0
361,"[35, 28, 40, 38, 31]",10,0,1526414.87,363600.94,0
362,"[31, 19, 18, 37, 16]",6,1,1890015.81,391483.05,0
363,"[38, 12, 1, 43, 31]",1,0,0.0,277614.49,0
364,"[38, 1, 10, 26, 36]",14,0,277614.49,277558.9,0
365,"[14, 30, 41, 26, 43]",8,0,555173.4,298000.43,0
366,"[42, 41, 43, 38, 19]",12,0,853173.83,312785.61,0
367,"[16, 39, 26, 34, 19]",12,0,1165959.44,340875.3,0
368,"[37, 34, 28, 18, 27]",12,2,1506834.74,369627.06,0
369,"[10, 7, 17, 37, 21]",5,0,0.0,273308.69,0
370,"[31, 35, 4, 45, 36]",7,0,273308.69,275578.13,0
371,"[27, 31, 15, 20, 37]",6,0,548886.82,308334.74,0
372,"[44, 15, 6, 25, 10]",13,0,857221.56,323518.96,0
373,"[19, 40, 29, 13, 43]",3,0,1180740.52,341174.52,0
374,"[8, 7, 29, 26, 15]",19,0,1521915.04,352122.12,0
375,"[35, 15, 17, 41, 44]",5,0,1874037.16,401310.27,0
376,"[38, 20, 25, 10, 1]",16,0,2275347.43,425231.82,0
377,"[15, 20, 8, 22, 9]",11,0,2700579.25,530327.4,0
378,"[5, 24, 18, 4, 26]",13,0,3230906.65,786261.42,0
379,"[22, 6, 28, 9, 18]",13,2,4017168.07,880068.45,0
380,"[4, 26, 39, 12, 38]",20,0,0.0,297492.03,0
381,"[39, 23, 16, 9, 3]",1,0,297492.03,324009.69,0
382,"[21, 3, 31, 1, 25]",6,0,621501.72,320611.21,0
383,"[30, 20, 34, 37, 32]",1,1,942112.93,358833.6,0
384,"[5, 23, 22, 42, 32]",2,0,0.0,284592.59,0
385,"[4, 30, 2, 20, 24]",11,1,284592.59,337361.36,0
386,"[34, 17, 44, 33, 21]",5,0,0.0,276748.48,0
387,"[14, 30, 23, 22, 41]",15,0,276748.48,327072.12,0
388,"[13, 20, 42, 6, 35]",11,0,603820.6,303399.15,0
389,"[36, 25, 16, 19, 17]",1,0,907219.76,352312.51,0
